Revenue Component;Commonwealth Grants Scheme and Other Grant;Higher Education Loan Programs AUD;Course Fee and Charges AUD;Total Revenue;Revenue Increase;Retention Rate
2023; 367,879,000.00 ; 381,082,000.00 ; 1,158,748,000.00 ; 1,907,709,000.00 ;0.0500;0.9080
2022; 378,352,000.00 ; 349,592,000.00 ; 1,088,859,000.00 ; 1,816,803,000.00 ;-0.0532;0.8840
2021;400,698,000.00; 350,629,000.00 ; 1,167,568,000.00 ; 1,918,895,000.00 ;-0.0260;0.8720
2020; 363,695,000.00 ; 339,770,000.00 ; 1,266,557,000.00 ; 1,970,022,000.00 ;0.0447;0.9080
